transaction_id,time,issuer_id,pos_id,card_number,status
trans_1,10:01,issuer1,pos1,1234567890123456,pending
trans_2,10:01,issuer1,pos1,1234567890123456,pending
trans_3,10:01,issuer1,pos1,1234567890123456,pending
trans_4,10:01,issuer1,pos1,1234567890123456,pending
trans_5,10:01,issuer1,pos1,1234567890123456,pending
trans_6,10:01,issuer1,pos1,1234567890123456,pending
trans_7,10:01,issuer1,pos1,1234567890123456,pending
trans_8,10:01,issuer1,pos1,1234567890123456,pending
trans_9,10:01,issuer1,pos1,1234567890123456,pending
trans_10,10:01,issuer1,pos1,1234567890123456,pending
trans_11,10:01,issuer1,pos1,1234567890123456,pending
trans_12,10:01,issuer1,pos1,1234567890123456,pending
trans_13,10:01,issuer1,pos1,1234567890123456,pending
trans_14,10:01,issuer1,pos1,1234567890123456,pending
trans_15,10:01,issuer1,pos1,1234567890123456,pending
trans_16,10:01,issuer1,pos1,1234567890123456,pending
trans_17,10:01,issuer1,pos1,1234567890123456,pending
trans_18,10:01,issuer1,pos1,1234567890123456,pending
trans_19,10:01,issuer1,pos1,1234567890123456,pending
trans_20,10:01,issuer1,pos1,1234567890123456,pending
trans_21,10:01,issuer1,pos1,1234567890123456,pending
trans_22,10:01,issuer1,pos1,1234567890123456,pending
trans_23,10:01,issuer1,pos1,1234567890123456,pending
trans_24,10:01,issuer1,pos1,1234567890123456,pending
trans_25,10:01,issuer1,pos1,1234567890123456,pending
trans_26,10:01,issuer1,pos1,1234567890123456,pending
trans_27,10:01,issuer1,pos1,1234567890123456,pending
trans_28,10:01,issuer1,pos1,1234567890123456,pending
trans_29,10:01,issuer1,pos1,1234567890123456,pending
trans_30,10:01,issuer1,pos1,1234567890123456,pending
trans_31,10:01,issuer1,pos1,1234567890123456,pending
trans_32,10:01,issuer1,pos1,1234567890123456,pending
trans_33,10:01,issuer1,pos1,1234567890123456,pending
trans_34,10:01,issuer1,pos1,1234567890123456,pending
trans_35,10:01,issuer1,pos1,1234567890123456,pending
trans_36,10:01,issuer1,pos1,1234567890123456,pending
trans_37,10:01,issuer1,pos1,1234567890123456,pending
trans_38,10:01,issuer1,pos1,1234567890123456,pending
trans_39,10:01,issuer1,pos1,1234567890123456,pending
trans_40,10:01,issuer1,pos1,1234567890123456,pending
trans_41,10:01,issuer1,pos1,1234567890123456,pending
trans_42,10:01,issuer1,pos1,1234567890123456,pending
trans_43,10:01,issuer1,pos1,1234567890123456,pending
trans_44,10:01,issuer1,pos1,1234567890123456,pending
trans_45,10:01,issuer1,pos1,1234567890123456,pending
trans_46,10:01,issuer1,pos1,1234567890123456,pending
trans_47,10:01,issuer1,pos1,1234567890123456,pending
trans_48,10:01,issuer1,pos1,1234567890123456,pending
trans_49,10:01,issuer1,pos1,1234567890123456,pending
trans_50,10:01,issuer1,pos1,1234567890123456,pending
trans_51,10:01,issuer1,pos1,1234567890123456,pending
trans_52,10:01,issuer1,pos1,1234567890123456,pending
trans_53,10:01,issuer1,pos1,1234567890123456,pending
trans_54,10:01,issuer1,pos1,1234567890123456,pending
trans_55,10:01,issuer1,pos1,1234567890123456,pending
trans_56,10:01,issuer1,pos1,1234567890123456,pending
trans_57,10:01,issuer1,pos1,1234567890123456,pending
trans_58,10:01,issuer1,pos1,1234567890123456,pending
trans_59,10:01,issuer1,pos1,1234567890123456,pending
trans_60,10:01,issuer1,pos1,1234567890123456,pending
trans_61,10:01,issuer1,pos1,1234567890123456,pending
trans_62,10:01,issuer1,pos1,1234567890123456,pending
trans_63,10:01,issuer1,pos1,1234567890123456,pending
trans_64,10:01,issuer1,pos1,1234567890123456,pending
trans_65,10:01,issuer1,pos1,1234567890123456,pending
trans_66,10:01,issuer1,pos1,1234567890123456,pending
trans_67,10:01,issuer1,pos1,1234567890123456,pending
trans_68,10:01,issuer1,pos1,1234567890123456,pending
trans_69,10:01,issuer1,pos1,1234567890123456,pending
trans_70,10:01,issuer1,pos1,1234567890123456,pending
trans_71,10:01,issuer1,pos1,1234567890123456,pending
trans_72,10:01,issuer1,pos1,1234567890123456,pending
trans_73,10:01,issuer1,pos1,1234567890123456,pending
trans_74,10:01,issuer1,pos1,1234567890123456,pending
trans_75,10:01,issuer1,pos1,1234567890123456,pending
trans_76,10:01,issuer1,pos1,1234567890123456,pending
trans_77,10:01,issuer1,pos1,1234567890123456,pending
trans_78,10:01,issuer1,pos1,1234567890123456,pending
trans_79,10:01,issuer1,pos1,1234567890123456,pending
trans_80,10:01,issuer1,pos1,1234567890123456,pending
trans_81,10:01,issuer1,pos1,1234567890123456,pending
trans_82,10:01,issuer1,pos1,1234567890123456,pending
trans_83,10:01,issuer1,pos1,1234567890123456,pending
trans_84,10:01,issuer1,pos1,1234567890123456,pending
trans_85,10:01,issuer1,pos1,1234567890123456,pending
trans_86,10:01,issuer1,pos1,1234567890123456,pending
trans_87,10:01,issuer1,pos1,1234567890123456,pending
trans_88,10:01,issuer1,pos1,1234567890123456,pending
trans_89,10:01,issuer1,pos1,1234567890123456,pending
trans_90,10:01,issuer1,pos1,1234567890123456,pending
trans_91,10:01,issuer1,pos1,1234567890123456,pending
trans_92,10:01,issuer1,pos1,1234567890123456,pending
trans_93,10:01,issuer1,pos1,1234567890123456,pending
trans_94,10:01,issuer1,pos1,1234567890123456,pending
trans_95,10:01,issuer1,pos1,1234567890123456,pending
trans_96,10:01,issuer1,pos1,1234567890123456,pending
trans_97,10:01,issuer1,pos1,1234567890123456,pending
trans_98,10:01,issuer1,pos1,1234567890123456,pending
trans_99,10:01,issuer1,pos1,1234567890123456,pending
trans_100,10:01,issuer1,pos1,1234567890123456,pending
trans_101,10:01,issuer1,pos1,1234567890123456,pending
trans_102,10:01,issuer1,pos1,1234567890123456,pending
trans_103,10:01,issuer1,pos1,1234567890123456,pending
trans_104,10:01,issuer1,pos1,1234567890123456,pending
trans_105,10:01,issuer1,pos1,1234567890123456,pending
trans_106,10:01,issuer1,pos1,1234567890123456,pending
trans_107,10:01,issuer1,pos1,1234567890123456,pending
trans_108,10:01,issuer1,pos1,1234567890123456,pending
trans_109,10:01,issuer1,pos1,1234567890123456,pending
trans_110,10:01,issuer1,pos1,1234567890123456,pending
trans_111,10:01,issuer1,pos1,1234567890123456,pending
trans_112,10:01,issuer1,pos1,1234567890123456,pending
trans_113,10:01,issuer1,pos1,1234567890123456,pending
trans_114,10:01,issuer1,pos1,1234567890123456,pending
trans_115,10:01,issuer1,pos1,1234567890123456,pending
trans_116,10:01,issuer1,pos1,1234567890123456,pending
trans_117,10:01,issuer1,pos1,1234567890123456,pending
trans_118,10:01,issuer1,pos1,1234567890123456,pending
trans_119,10:01,issuer1,pos1,1234567890123456,pending
trans_120,10:01,issuer1,pos1,1234567890123456,pending
trans_121,10:01,issuer1,pos1,1234567890123456,pending
trans_122,10:01,issuer1,pos1,1234567890123456,pending
trans_123,10:01,issuer1,pos1,1234567890123456,pending
trans_124,10:01,issuer1,pos1,1234567890123456,pending
trans_125,10:01,issuer1,pos1,1234567890123456,pending
trans_126,10:01,issuer1,pos1,1234567890123456,pending
trans_127,10:01,issuer1,pos1,1234567890123456,pending
trans_128,10:01,issuer1,pos1,1234567890123456,pending
trans_129,10:01,issuer1,pos1,1234567890123456,pending
trans_130,10:01,issuer1,pos1,1234567890123456,pending
trans_131,10:01,issuer1,pos1,1234567890123456,pending
trans_132,10:01,issuer1,pos1,1234567890123456,pending
trans_133,10:01,issuer1,pos1,1234567890123456,pending
trans_134,10:01,issuer1,pos1,1234567890123456,pending
trans_135,10:01,issuer1,pos1,1234567890123456,pending
trans_136,10:01,issuer1,pos1,1234567890123456,pending
trans_137,10:01,issuer1,pos1,1234567890123456,pending
trans_138,10:01,issuer1,pos1,1234567890123456,pending
trans_139,10:01,issuer1,pos1,1234567890123456,pending
trans_140,10:01,issuer1,pos1,1234567890123456,pending
trans_141,10:01,issuer1,pos1,1234567890123456,pending
trans_142,10:01,issuer1,pos1,1234567890123456,pending
trans_143,10:01,issuer1,pos1,1234567890123456,pending
trans_144,10:01,issuer1,pos1,1234567890123456,pending
trans_145,10:01,issuer1,pos1,1234567890123456,pending
trans_146,10:01,issuer1,pos1,1234567890123456,pending
trans_147,10:01,issuer1,pos1,1234567890123456,pending
trans_148,10:01,issuer1,pos1,1234567890123456,pending
trans_149,10:01,issuer1,pos1,1234567890123456,pending
trans_150,10:01,issuer1,pos1,1234567890123456,pending
trans_151,10:01,issuer1,pos1,1234567890123456,pending
trans_152,10:01,issuer1,pos1,1234567890123456,pending
trans_153,10:01,issuer1,pos1,1234567890123456,pending
trans_154,10:01,issuer1,pos1,1234567890123456,pending
trans_155,10:01,issuer1,pos1,1234567890123456,pending
trans_156,10:01,issuer1,pos1,1234567890123456,pending
trans_157,10:01,issuer1,pos1,1234567890123456,pending
trans_158,10:01,issuer1,pos1,1234567890123456,pending
trans_159,10:01,issuer1,pos1,1234567890123456,pending
trans_160,10:01,issuer1,pos1,1234567890123456,pending
trans_161,10:01,issuer1,pos1,1234567890123456,pending
trans_162,10:01,issuer1,pos1,1234567890123456,pending
trans_163,10:01,issuer1,pos1,1234567890123456,pending
trans_164,10:01,issuer1,pos1,1234567890123456,pending
trans_165,10:01,issuer1,pos1,1234567890123456,pending
trans_166,10:01,issuer1,pos1,1234567890123456,pending
trans_167,10:01,issuer1,pos1,1234567890123456,pending
trans_168,10:01,issuer1,pos1,1234567890123456,pending
trans_169,10:01,issuer1,pos1,1234567890123456,pending
trans_170,10:01,issuer1,pos1,1234567890123456,pending
trans_171,10:01,issuer1,pos1,1234567890123456,pending
trans_172,10:01,issuer1,pos1,1234567890123456,pending
trans_173,10:01,issuer1,pos1,1234567890123456,pending
trans_174,10:01,issuer1,pos1,1234567890123456,pending
trans_175,10:01,issuer1,pos1,1234567890123456,pending
trans_176,10:01,issuer1,pos1,1234567890123456,pending
trans_177,10:01,issuer1,pos1,1234567890123456,pending
trans_178,10:01,issuer1,pos1,1234567890123456,pending
